生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
たまらない<div class="hint">unbearable | irresistible</div>,たまらない,unbearable | irresistible,<ruby>頭<rt>あたま</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>くてたまらない。,I have an unbearable headache.
だいたい<div class="hint">generally; approximately</div>,だいたい,generally; approximately,,
ちょうだい<div class="hint">(hum) to receive; (hum) to eat; to drink</div>,ちょうだい,(hum) to receive; (hum) to eat; to drink,,
つまり<div class="hint">that is; in other words</div>,つまり,that is; in other words,つまり、あなたは <ruby>何<rt>なに</rt></ruby>も <ruby>知<rt>し</rt></ruby>らないのですね。,So; basically you don't know anything.
つらい<div class="hint">painful; heart-breaking</div>,つらい,painful; heart-breaking,,
ところが<div class="hint">despite; however</div>,ところが,despite; however,,
ところで<div class="hint">by the way</div>,ところで,by the way,,
とにかく<div class="hint">anyhow; at any rate</div>,とにかく,anyhow; at any rate,とにかく <ruby>現場<rt>げんば</rt></ruby>へ <ruby>行<rt>い</rt></ruby>ってみましょう。,Anyway; let's go to the site.
どうしても<div class="hint">at any cost; no matter what</div>,どうしても,at any cost; no matter what,どうしてもその <ruby>訳<rt>わけ</rt></ruby>を <ruby>知<rt>し</rt></ruby>りたい。,I really want to know the reason.
どこか<div class="hint">somewhere; anywhere</div>,どこか,somewhere; anywhere,,
なお<div class="hint">furthermore; still</div>,なお,furthermore; still,なお、 <ruby>雨<rt>あめ</rt></ruby>の <ruby>場合<rt>ばあい</rt></ruby>は <ruby>中止<rt>ちゅうし</rt></ruby>です。,Moreover; it will be canceled in the event of rain.
なぜなら<div class="hint">because; the reason is</div>,なぜなら,because; the reason is,,
にんじん<div class="hint">carrot</div>,にんじん,carrot,<ruby>私<rt>わたし</rt></ruby>はにんじんが <ruby>嫌<rt>きら</rt></ruby>いだ。,I hate carrots.
はさみ<div class="hint">scissors</div>,はさみ,scissors,このはさみはよく <ruby>切<rt>き</rt></ruby>れる。,These scissors cut well.
はちみつ<div class="hint">honey</div>,はちみつ,honey,,
ひび<div class="hint">crack; rift</div>,ひび,crack; rift,<ruby>窓<rt>まど</rt></ruby>ガラスにひびが <ruby>入<rt>はい</rt></ruby>ったよ。,We've got a crack in the window glass.
蓋<div class="hint">cover; lid</div>,ふた,cover; lid,<ruby>箱<rt>はこ</rt></ruby>に <ruby>蓋<rt>ふた</rt></ruby>をしたよ。,I shut the lid on the box.
ふと<div class="hint">suddenly; casually; accidentally</div>,ふと,suddenly; casually; accidentally,ふと <ruby>昔<rt>むかし</rt></ruby>の <ruby>事<rt>こと</rt></ruby>を <ruby>思<rt>おも</rt></ruby>い <ruby>出<rt>だ</rt></ruby>したんだ。,I suddenly remembered the past.
ほぼ<div class="hint">almost; approximately</div>,ほぼ,almost; approximately,<ruby>仕事<rt>しごと</rt></ruby>がほぼ <ruby>終<rt>お</rt></ruby>わりました。,My work is almost finished.
まさに<div class="hint">exactly; certainly | right then; just then</div>,まさに,exactly; certainly | right then; just then,,
ますます<div class="hint">increasingly; more and more</div>,ますます,increasingly; more and more,<ruby>状況<rt>じょうきょう</rt></ruby>はますます <ruby>悪<rt>わる</rt></ruby>くなったね。,The situation has gotten worse and worse.
まるで<div class="hint">entirely; completely</div>,まるで,entirely; completely,<ruby>彼<rt>かれ</rt></ruby>はまるで <ruby>子供<rt>こども</rt></ruby>のようにはしゃいだよ。,He went on a spree just like a child.
もしも<div class="hint">if</div>,もしも,if,もしも <ruby>彼女<rt>かのじょ</rt></ruby>と <ruby>結婚<rt>けっこん</rt></ruby>できたらどんなに <ruby>嬉<rt>うれ</rt></ruby>しいだろう。,If I could ever marry her; how happy I would be!
やがて<div class="hint">before long; soon | finally; in the end</div>,やがて,before long; soon | finally; in the end,やがて <ruby>雪<rt>ゆき</rt></ruby>も <ruby>止<rt>や</rt></ruby>むでしょう。,The snow will stop before long.
～によると<div class="hint">according to ～</div>,～によると,according to ～,,
わがまま<div class="hint">selfishness</div>,わがまま,selfishness,<ruby>子供<rt>こども</rt></ruby>のわがままを <ruby>叱<rt>しか</rt></ruby>ったの。,I scolded my kid for being selfish.
わざと<div class="hint">on purpose</div>,わざと,on purpose,<ruby>彼<rt>かれ</rt></ruby>はわざと <ruby>負<rt>ま</rt></ruby>けたように <ruby>見<rt>み</rt></ruby>えたな。,It looked like he lost on purpose.
わざわざ<div class="hint">specially; especially; intentionally</div>,わざわざ,specially; especially; intentionally,わざわざ <ruby>来<rt>き</rt></ruby>てくれてありがとう。,Thank you for coming all the way here.
あこがれる<div class="hint">to long for</div>,あこがれる,to long for,,
あせる<div class="hint">to be in a hurry; to be flustered</div>,あせる,to be in a hurry; to be flustered,,
宛先<div class="hint">destination; addressee</div>,あてさき,destination; addressee,<ruby>宛先<rt>あてさき</rt></ruby> <ruby>不明<rt>ふめい</rt></ruby>で <ruby>手紙<rt>てがみ</rt></ruby>が <ruby>戻<rt>もど</rt></ruby>ってきたの。,The letter was returned as the postal address was unknown.
いっせいに<div class="hint">simultaneously; all at once</div>,いっせいに,simultaneously; all at once,,
うなる<div class="hint">to groan; to moan</div>,うなる,to groan; to moan,,
エビ<div class="hint">shrimp</div>,えび,shrimp,,
おじ<div class="hint">uncle</div>,おじ,uncle,おじは <ruby>銀行<rt>ぎんこう</rt></ruby>に <ruby>勤<rt>つと</rt></ruby>めています。,My uncle works at a bank.
おば<div class="hint">aunty</div>,おば,aunty,おばは <ruby>大阪<rt>おおさか</rt></ruby>に <ruby>住<rt>す</rt></ruby>んでいます。,My aunt lives in Osaka.
おまえ<div class="hint">you (familiar person)</div>,おまえ,you (familiar person),,
お詫び<div class="hint">apology</div>,おわび,apology,<ruby>誤解<rt>ごかい</rt></ruby>があったことをお <ruby>詫<rt>わ</rt></ruby>びします。,I apologize for the misunderstanding.
かわいらしい<div class="hint">lovely; sweet</div>,かわいらしい,lovely; sweet,,
くやしい<div class="hint">frustrating; regrettable</div>,くやしい,frustrating; regrettable,,
しかたない<div class="hint">it can't be helped</div>,しかたない,it can't be helped,,
席（せき）<div class="hint">seat</div>,せき,seat,,
潰す<div class="hint">to smash; to crush</div>,つぶす,to smash; to crush,ペットボトルは <ruby>潰<rt>つぶ</rt></ruby>して <ruby>捨<rt>す</rt></ruby>てましょう。,Before you throw away plastic bottles; make sure you crush them.
何も<div class="hint">nothing (with neg. verbs)</div>,なにも,nothing (with neg. verbs),,
蜂<div class="hint">bee</div>,はち,bee,<ruby>友達<rt>ともだち</rt></ruby>が <ruby>蜂<rt>はち</rt></ruby>に <ruby>刺<rt>さ</rt></ruby>されたんだ。,My friend was stung by a bee.
スズメバチ<div class="hint">wasp</div>,すずめばち,wasp,,
あんなに<div class="hint">to that extent</div>,あんなに,to that extent,あんなにいい <ruby>人<rt>ひと</rt></ruby>はいません。,I've never seen such a good-hearted person.
嫌な<div class="hint">unpleasant</div>,いやな,unpleasant,,
嘘をつく<div class="hint">to (tell a) lie</div>,うそをつく,to (tell a) lie,,
お昼<div class="hint">lunch; noon break</div>,おひる,lunch; noon break,,
お相撲さん<div class="hint">sumowrestler</div>,おすもうさん,sumowrestler,,
お祈り<div class="hint">a wish</div>,おいのり,a wish,,
お茶会<div class="hint">tea party</div>,おちゃかい,tea party,,
かっこいい<div class="hint">cool; looking good</div>,かっこいい,cool; looking good,,
ぐつぐつ<div class="hint">simmering</div>,ぐつぐつ,simmering,,
ケチ<div class="hint">stingy; miser</div>,けち,stingy; miser,,
この辺り<div class="hint">this area; around here</div>,このあたり,this area; around here,,
合格者<div class="hint">person who passed</div>,合格者,person who passed,,
ごめんなさい<div class="hint">I'm sorry; excuse me</div>,ごめんなさい,I'm sorry; excuse me,,
しょうがない<div class="hint">it can't be helped</div>,しょうがない,it can't be helped,,
じっと<div class="hint">intently; stoically; quietly</div>,じっと,intently; stoically; quietly,あの <ruby>生徒<rt>せいと</rt></ruby>はじっと <ruby>先生<rt>せんせい</rt></ruby>の <ruby>話<rt>はなし</rt></ruby>を <ruby>聞<rt>き</rt></ruby>いていたね。,The pupil was listening attentively to the teacher.
できれば<div class="hint">if at all possible</div>,できれば,if at all possible,,
入会<div class="hint">becoming a member; joining a group</div>,にゅうかい,becoming a member; joining a group,,
喉が乾く<div class="hint">to be thirsty</div>,のどがかわく,to be thirsty,,
腹が立つ<div class="hint">to be angry</div>,はらがたつ,to be angry,,
ばらばら<div class="hint">unorganized; disarrayed</div>,ばらばら,unorganized; disarrayed,<ruby>生徒<rt>せいと</rt></ruby>たちはばらばらに <ruby>帰宅<rt>きたく</rt></ruby>したね。,Students went home separately.
本日<div class="hint">today</div>,ほんじつ,today,<ruby>本日<rt>ほんじつ</rt></ruby>のランチはハンバーグでございます。,The lunch of the day is hamburger steak.
やる気が出る<div class="hint">to become motivated</div>,やるきがでる,to become motivated,,
ゆっくり<div class="hint">slowly; at easy</div>,ゆっくり,slowly; at easy,もっとゆっくり <ruby>話<rt>はな</rt></ruby>してください。,Please speak more slowly.
予約制<div class="hint">by reservation</div>,よやくせい,by reservation,,
我が～<div class="hint">our ～</div>,わが～,our ～,我が社,our company
インターンシップ<div class="hint">internship</div>,インターンシップ,internship,,
ウイルスソフト<div class="hint">anti-virus software</div>,ウイルスソフト,anti-virus software,,
カビ<div class="hint">mold</div>,カビ,mold,,
ガーデニング<div class="hint">gardening</div>,ガーデニング,gardening,,
キュウリ<div class="hint">cucumber</div>,キュウリ,cucumber,,
クーポン券<div class="hint">coupon</div>,クーポンけん,coupon,,
グループディスカッション<div class="hint">group discussion</div>,グループディスカッション,group discussion,,
ゴールを決める<div class="hint">to score a goal</div>,コールをきめる,to score a goal,,
サプリ<div class="hint">supplement (drug; medicine)</div>,サプリ,supplement (drug; medicine),abbreviation of サプリメント,
サプリメント<div class="hint">supplement (drug; medicine)</div>,サプリメント,supplement (drug; medicine),,
サポート<div class="hint">support</div>,サポート,support,,
ショッピング<div class="hint">shopping</div>,ショッピング,shopping,,
ストレスがたまる<div class="hint">to build up stress</div>,ストレスがたまる,to build up stress,,
スポーツクラブ<div class="hint">sports club; sports gym</div>,スポーツクラブ,sports club; sports gym,,
スポーツ選手<div class="hint">athlete</div>,スポーツせんしゅ,athlete,,
デジカメ<div class="hint">digital camera</div>,デジカメ,digital camera,,
なす<div class="hint">eggplant</div>,なす,eggplant,,
ネットショッピング<div class="hint">online shopping</div>,ネットショッピング,online shopping,,
ネット<div class="hint">internet; (physical) net</div>,ネット,internet; (physical) net,abbreviation of インターネット,
はと<div class="hint">pigeon</div>,はと,pigeon,,
バーベキュー<div class="hint">barbeque</div>,バーベキュー,barbeque,,
パリ<div class="hint">Paris</div>,パリ,Paris,,
ビニール袋<div class="hint">plastic bag</div>,ビニールぶくろ,plastic bag,,
フィンランド<div class="hint">Finland</div>,フィンランド,Finland,,
プレゼン<div class="hint">presentation</div>,プレゼン,presentation,abbreviation of プレゼンテーション,
ヨーロッパ<div class="hint">Europe</div>,ヨーロッパ,Europe,,
ランチ<div class="hint">lunch</div>,ランチ,lunch,,
レシピ<div class="hint">recipe</div>,レシピ,recipe,,
ワイワイ<div class="hint">boisterously; lively</div>,ワイワイ,boisterously; lively,,
ワンルーム<div class="hint">one-room (apartment)</div>,ワンルーム,one-room (apartment),,
上記<div class="hint">the above (text)</div>,じょうき,the above (text),,
下記<div class="hint">the below (text)</div>,かき,the below (text),,
不便をかける<div class="hint">to cause inconvenience</div>,ふべんをかける,to cause inconvenience,,
交通安全<div class="hint">traffic safety</div>,こうつうあんぜん,traffic safety,,
人混み<div class="hint">a crowd of people</div>,ひとごみ,a crowd of people,<ruby>私<rt>わたし</rt></ruby>は <ruby>人混<rt>ひとご</rt></ruby>みが <ruby>好<rt>す</rt></ruby>きではありません。,I don't like crowds.
付き合い<div class="hint">association; socializing</div>,つきあい,association; socializing,<ruby>今日<rt>きょう</rt></ruby>は <ruby>付<rt>つ</rt></ruby>き <ruby>合<rt>あ</rt></ruby>いで <ruby>帰<rt>かえ</rt></ruby>りが <ruby>遅<rt>おそ</rt></ruby>くなります。,I have to go out with my colleagues today; so I'll be coming home late.
仲良い<div class="hint">be friendly with</div>,なかいい,be friendly with,Same as 仲が良い,
仲が良い<div class="hint">be friendly with</div>,なかがいい,be friendly with,Same as 仲良い,
体を壊す<div class="hint">to hurt one's health</div>,からだをこわす,to hurt one's health,,
保険証<div class="hint">insurance card</div>,ほけんしょう,insurance card,,
信頼関係<div class="hint">trusting relationship</div>,しんらいかんけい,trusting relationship,,
入会金<div class="hint">initial membership fee</div>,にゅうかいきん,initial membership fee,,
写真家<div class="hint">photographer</div>,しゃしんか,photographer,,
出席率<div class="hint">attendance rate</div>,しゅっせきりつ,attendance rate,,
力を合わせる<div class="hint">to combine efforts</div>,ちからをあわせる,to combine efforts,,
～率<div class="hint">～ rate; portion of ～</div>,～りつ,～ rate; portion of ～,,
化粧品<div class="hint">cosmetics</div>,けしょうひん,cosmetics,,
卒業論文<div class="hint">graduation thesis</div>,そつぎょうろんぶん,graduation thesis,,
参考になる<div class="hint">to be of use (as a reference)</div>,さんこうになる,to be of use (as a reference),,
取り直す<div class="hint">to re-obtain</div>,とりなおす,to re-obtain,,
取引先<div class="hint">customer; client</div>,とりひきさき,customer; client,,
味付け<div class="hint">flavoring; seasoning</div>,あじつけ,flavoring; seasoning,,
商店街<div class="hint">shopping area; shopping arcade</div>,しょうてんがい,shopping area; shopping arcade,,
